plant_species,longitude,latitude,group,site_name
Pontederia crassipes,27.950905,-32.987428,distribution,NA
Pontederia crassipes,30.690433,-30.397233,distribution,NA
Pontederia crassipes,18.508636,-34.085558,distribution,NA
Pontederia crassipes,18.496132,-34.060903,distribution,NA
Pontederia crassipes,32.403014,-27.651332,distribution,NA
Pontederia crassipes,18.500206,-34.059133,distribution,NA
Pontederia crassipes,19.189011,-33.422852,distribution,NA
Pontederia crassipes,20.217023,-34.005937,distribution,NA
Pontederia crassipes,31.731497,-23.942842,distribution,NA
Pontederia crassipes,31.816743,-23.923269,distribution,NA
Pontederia crassipes,28.348483,-25.634658,distribution,NA
Pontederia crassipes,28.783072,-25.794925,distribution,NA
Pontederia crassipes,18.521463,-34.084808,distribution,NA
Pontederia crassipes,32.4024,-27.6544,distribution,NA
Pontederia crassipes,31.605342,-29.126001,distribution,NA
Pontederia crassipes,28.982809,-25.738888,distribution,NA
Pontederia crassipes,28.367174,-25.610205,distribution,NA
Pontederia crassipes,28.324542,-25.79644,distribution,NA
Pontederia crassipes,18.489195,-33.948736,distribution,NA
Pontederia crassipes,18.485774,-34.047721,distribution,NA
Pontederia crassipes,28.19353,-25.624598,distribution,NA
Pontederia crassipes,28.193935,-25.624143,distribution,NA
Pontederia crassipes,21.407983,-34.35017,distribution,NA
Pontederia crassipes,18.644657,-34.067449,distribution,NA
Pontederia crassipes,18.503853,-34.096727,distribution,NA
Pontederia crassipes,18.519056,-34.035673,distribution,NA
Pontederia crassipes,31.63344,-23.833319,distribution,NA
Pontederia crassipes,18.484171,-33.890484,distribution,NA
Pontederia crassipes,30.724082,-29.855083,distribution,NA
Pontederia crassipes,18.989668,-33.357683,distribution,NA
Pontederia crassipes,19.197357,-33.52747,distribution,NA
Pontederia crassipes,30.422126,-29.593295,distribution,NA
Pontederia crassipes,18.490272,-33.8778,distribution,NA
Pontederia crassipes,28.324126,-25.796298,distribution,NA
Pontederia crassipes,31.612816,-23.837993,distribution,NA
Pontederia crassipes,18.499792,-34.059236,distribution,NA
Pontederia crassipes,18.496243,-34.061102,distribution,NA
Pontederia crassipes,18.485907,-34.05048,distribution,NA
Pontederia crassipes,18.475869,-33.934397,distribution,NA
Pontederia crassipes,18.475612,-33.934348,distribution,NA
Pontederia crassipes,18.4961,-34.06097,distribution,NA
Pontederia crassipes,18.499936,-34.059225,distribution,NA
Pontederia crassipes,30.835538,-29.675713,distribution,NA
Pontederia crassipes,18.499978,-34.059253,distribution,NA
Pontederia crassipes,18.501341,-34.059128,distribution,NA
Pontederia crassipes,18.500626,-34.058871,distribution,NA
Pontederia crassipes,18.496214,-34.061082,distribution,NA
Pontederia crassipes,19.188209,-33.43697,distribution,NA
Pontederia crassipes,28.384569,-25.643855,distribution,NA
Pontederia crassipes,31.613247,-23.838758,distribution,NA
Pontederia crassipes,31.61323,-23.838643,distribution,NA
Pontederia crassipes,18.497389,-34.061,distribution,NA
Pontederia crassipes,28.349505,-25.633645,distribution,NA
Pontederia crassipes,18.499931,-34.059267,distribution,NA
Pontederia crassipes,30.88305,-30.057871,distribution,NA
Pontederia crassipes,28.344826,-25.625038,distribution,NA
Pontederia crassipes,18.501046,-33.8555,distribution,NA
Pontederia crassipes,18.47018,-34.108732,distribution,NA
Pontederia crassipes,31.600497,-29.131191,distribution,NA
Pontederia crassipes,24.526879,-28.540574,distribution,NA
Pontederia crassipes,18.505018,-33.942825,distribution,NA
Pontederia crassipes,18.505018,-33.942825,distribution,NA
Pontederia crassipes,18.505105,-33.942851,distribution,NA
Pontederia crassipes,27.858818,-25.956777,distribution,NA
Pontederia crassipes,18.504193,-34.097053,distribution,NA
Pontederia crassipes,27.854812,-25.961372,distribution,NA
Pontederia crassipes,18.215137,-32.832857,distribution,NA
Pontederia crassipes,18.501314,-34.059113,distribution,NA
Pontederia crassipes,18.494396,-34.060593,distribution,NA
Pontederia crassipes,18.518973,-34.086457,distribution,NA
Pontederia crassipes,18.518909,-34.086456,distribution,NA
Pontederia crassipes,28.345755,-25.639567,distribution,NA
Pontederia crassipes,31.028612,-29.808222,distribution,NA
Pontederia crassipes,18.496431,-34.060893,distribution,NA
Pontederia crassipes,18.658147,-33.494144,distribution,NA
Pontederia crassipes,18.496299,-34.060993,distribution,NA
Pontederia crassipes,28.352587,-25.641876,distribution,NA
Pontederia crassipes,18.496373,-34.06089,distribution,NA
Pontederia crassipes,30.882872,-30.058616,distribution,NA
Pontederia crassipes,28.364963,-25.63241,distribution,NA
Pontederia crassipes,18.498813,-34.059402,distribution,NA
Pontederia crassipes,18.734686,-33.882767,distribution,NA
Pontederia crassipes,20.44853,-34.07294,distribution,NA
Pontederia crassipes,18.459628,-34.083174,distribution,NA
Pontederia crassipes,31.6225,-25.6502,distribution,NA
Pontederia crassipes,32.400763,-27.653927,distribution,NA
Pontederia crassipes,18.472225,-33.93154,distribution,NA
Pontederia crassipes,18.520301,-34.086094,distribution,NA
Pontederia crassipes,18.515431,-33.846623,distribution,NA
Pontederia crassipes,18.662045,-33.847373,distribution,NA
Pontederia crassipes,31.5776,-23.839512,distribution,NA
Pontederia crassipes,31.576965,-23.840743,distribution,NA
Pontederia crassipes,18.490215,-33.882004,distribution,NA
Pontederia crassipes,28.347801,-25.62807,distribution,NA
Pontederia crassipes,31.894069,-25.36228,distribution,NA
Pontederia crassipes,18.518001,-34.059747,distribution,NA
Pontederia crassipes,18.496295,-34.060954,distribution,NA
Pontederia crassipes,25.515702,-33.811548,distribution,NA
Pontederia crassipes,31.090343,-25.365792,distribution,NA
Pontederia crassipes,28.271532,-25.370693,distribution,NA
Pontederia crassipes,28.182634,-25.625441,distribution,NA
Pontederia crassipes,31.893822,-25.362212,distribution,NA
Pontederia crassipes,31.86892,-25.366922,distribution,NA
Pontederia crassipes,31.591632,-23.8592,distribution,NA
Pontederia crassipes,31.628727,-23.837257,distribution,NA
Pontederia crassipes,31.624108,-23.837905,distribution,NA
